Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2012-05-14,1,1,1,40.80182876938858,-73.93521162803827,3,1,1,1,200.0,650.0,2000.0,0.0,0.0,2,100.0,3,1125,5,2015-07-12,2015-08-07,0.23,96.0,0,1,1,0,0,0,1,1,0,0
2014-11-20,4,4,4,40.78809001713447,-73.94906614010654,2,1,1,1,90.0,630.0,2700.0,0.0,40.0,1,0.0,1,1125,72,2016-06-08,2017-05-02,6.55,94.0,0,1,0,1,0,0,1,0,0,1
2016-09-26,2,2,1,40.79616992795615,-73.9324943824287,2,1,1,1,70.0,490.0,2100.0,100.0,45.0,2,20.0,3,20,3,2016-10-19,2017-05-02,0.46,87.0,0,1,0,1,0,0,1,0,0,1
2014-04-20,1,1,1,40.78977614000132,-73.94808090684303,2,1,1,1,220.0,1540.0,4800.0,0.0,0.0,1,0.0,4,1125,1,2015-09-20,2015-09-20,0.05,80.0,0,1,1,0,0,0,1,0,1,0
2014-11-02,3,3,3,40.792897521430056,-73.94124668051133,2,1,1,1,75.0,525.0,1350.0,0.0,25.0,1,8.0,25,365,18,2015-09-15,2016-06-13,0.9,77.0,0,1,0,1,0,0,1,0,1,0
2017-01-25,1,1,1,40.79659035080458,-73.94780520133293,2,1,1,1,68.0,476.0,2040.0,0.0,0.0,1,0.0,1,40,2,2017-02-11,2017-02-23,0.73,100.0,0,1,0,1,0,0,1,1,0,0
2016-04-13,1,1,1,40.7140353495096,-73.99339594439968,5,1,2,4,188.0,1316.0,5640.0,199.0,59.0,4,20.0,1,1125,66,2016-04-29,2017-04-30,5.35,92.0,0,1,1,0,0,0,1,0,0,1
2010-10-13,2,2,2,40.71362620821772,-73.99070202111635,2,1,1,1,120.0,840.0,3600.0,0.0,8.0,1,0.0,1,200,70,2016-02-10,2017-04-06,4.68,95.0,0,1,1,0,0,0,1,0,0,1
2012-10-16,1,1,1,40.71714154100949,-73.9913891810324,2,1,0,1,189.0,1323.0,5670.0,250.0,35.0,1,0.0,2,1125,139,2013-09-23,2017-04-19,3.16,91.0,0,1,1,0,0,0,1,0,0,1
2014-07-24,2,2,2,40.717073386428666,-73.99065511082775,1,1,1,1,99.0,693.0,2970.0,0.0,20.0,1,0.0,3,5,1,2015-10-12,2015-10-12,0.05,100.0,0,1,0,1,0,0,1,1,0,0
2013-03-11,1,1,1,40.71432508812484,-73.99028078306236,2,1,1,1,110.0,725.0,3000.0,0.0,35.0,1,0.0,5,1125,3,2016-03-17,2016-07-18,0.22,93.0,0,1,1,0,0,1,0,0,0,1
2013-06-30,2,2,2,40.71398952451194,-73.99707180126852,5,1,2,3,500.0,3500.0,15000.0,0.0,100.0,1,50.0,2,1125,15,2015-05-25,2016-10-26,0.63,91.0,0,1,1,0,0,0,1,0,0,1
2015-10-30,1,1,1,40.71410786254332,-73.99900220565343,2,1,1,1,98.0,686.0,2940.0,0.0,0.0,1,20.0,2,1125,10,2016-06-20,2016-11-26,0.94,93.0,0,1,0,1,0,0,1,0,0,1
2012-04-30,1,1,1,40.71593039538411,-73.99030591839472,2,1,1,1,150.0,1050.0,4500.0,0.0,100.0,2,50.0,2,30,8,2015-10-12,2017-01-02,0.42,100.0,0,1,1,0,0,0,1,0,0,1
2012-04-05,1,1,1,40.71633888060802,-73.99030629786968,4,2,1,2,399.0,800.0,3000.0,0.0,60.0,4,50.0,2,10,2,2016-06-22,2016-09-19,0.19,100.0,0,1,0,1,0,0,1,0,0,1
2016-12-05,1,1,1,40.71621985754168,-73.9912297081128,1,1,1,1,90.0,630.0,2700.0,500.0,35.0,1,0.0,2,1065,4,2016-12-19,2017-03-08,0.88,95.0,0,1,0,1,0,0,1,1,0,0
2015-10-05,1,1,1,40.7169247400989,-73.99455233120226,2,1,1,1,100.0,700.0,3000.0,0.0,0.0,1,0.0,7,1125,3,2015-11-03,2016-06-09,0.16,90.0,0,1,1,0,0,0,1,0,0,1
2015-11-21,1,1,1,40.71365409747759,-73.99091122344772,2,1,0,1,120.0,840.0,3600.0,0.0,75.0,1,0.0,7,1125,1,2016-01-05,2016-01-05,0.06,80.0,0,1,1,0,0,0,1,1,0,0
