Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
11/22/16,1,1,1,40.75446848,-73.99357594,2,1,1,2,225,112.5,1575,6750,0,0,25,50,1,0,1,30,2,12/9/16,3/20/17,0.41,0,0,1,1,0,0,0,1,1,0,0
9/15/14,3,3,3,40.76118387,-73.98994938,2,2,1,1,150,75,1050,4500,0,0,10,20,1,0,1,1125,147,9/20/14,4/17/17,4.61,0,0,1,0,1,0,0,1,0,0,1
4/19/15,1,1,1,40.76776419,-73.98449281,4,1,2,2,128,32,896,3840,0,0,2.5,10,1,30,1,90,48,6/26/16,4/30/17,4.62,0,0,1,0,1,0,0,1,1,0,0
8/4/14,1,1,1,40.76251629,-73.99116575,3,1,1,1,195,65,1365,5850,0,0,26.66666667,80,1,0,3,14,2,8/25/16,12/6/16,0.24,1,0,1,1,0,0,0,1,0,0,1
1/24/14,1,1,1,40.76732474,-73.98946639,8,2,2,3,455,56.875,3185,13650,0,0,18.75,150,1,50,1,1125,14,12/1/15,1/11/17,0.81,0,0,1,1,0,0,0,1,0,0,1
9/15/14,3,3,3,40.75974905,-73.989698,2,1,1,1,140,70,980,4200,0,0,10,20,1,0,3,1125,134,9/21/14,4/9/17,4.2,1,0,1,0,1,0,0,1,0,0,1
5/1/16,5,5,2,40.76299999,-73.9864209,10,2,4,4,875,87.5,6125,26250,75,750,25,250,8,0,2,30,4,10/28/16,3/24/17,0.63,0,0,1,1,0,0,0,1,0,0,1
12/26/12,1,1,1,40.76553203,-73.98440609,4,1,1,2,235,58.75,1645,7050,50,200,16.25,65,2,45,2,1125,28,9/7/15,4/11/17,1.39,1,0,1,1,0,0,0,1,0,1,0
1/25/15,1,1,1,40.76621128,-73.98434086,2,1,1,1,177,88.5,1239,5310,125,250,55,110,1,0,4,1125,5,11/7/16,4/11/17,0.84,0,0,1,0,1,0,0,1,0,0,1
2/14/16,1,1,1,40.762307,-73.98820368,5,2,3,6,850,170,5950,25500,30,150,25.6,128,4,15,5,1125,39,3/1/16,4/18/17,2.72,0,0,1,1,0,0,0,1,0,0,1
11/29/13,2,2,1,40.7636769,-73.9943963,1,1,1,1,90,90,630,2700,300,300,75,75,1,20,7,1125,11,12/29/13,9/20/16,0.27,0,0,1,0,1,0,0,1,0,1,0
12/8/16,1,1,1,40.76346197,-73.99119412,6,1,3,3,590,98.33333333,4130,17700,83.33333333,500,25,150,6,25,1,28,18,1/1/17,4/15/17,4.35,1,0,1,1,0,0,0,1,1,0,0
3/31/14,1,1,1,40.76144449,-73.99242785,2,1,0,2,225,112.5,1575,6750,150,300,40,80,2,75,2,14,5,6/3/16,10/7/16,0.45,1,0,1,1,0,0,0,1,0,0,1
6/25/12,2,2,2,40.76424666,-73.99235032,2,1,1,1,115,57.5,805,3450,0,0,0,0,3,20,3,1125,5,7/14/16,7/24/16,0.51,1,0,1,0,1,0,1,0,0,1,0
9/19/11,1,1,1,40.75740552,-73.99471454,2,1,1,1,225,112.5,1575,4000,250,500,25,50,2,25,1,90,52,2/18/15,4/30/17,1.93,1,0,1,0,1,0,0,1,0,0,1
9/29/14,1,1,1,40.72835721,-74.00114112,3,1,1,2,101,33.66666667,707,3030,0,0,23.33333333,70,1,30,2,14,16,9/8/15,4/18/17,0.8,0,0,1,1,0,0,0,1,0,0,1
1/25/14,1,1,1,40.72869745,-74.00180718,2,1,1,1,170,85,1190,5100,0,0,25,50,1,0,1,1125,19,9/22/14,3/1/17,0.6,0,0,1,1,0,0,0,1,0,0,1
7/2/14,1,1,1,40.73292658,-73.99781786,3,1,1,1,180,60,1260,5400,0,0,20,60,1,0,1250,1250,2,10/19/14,11/9/14,0.06,0,0,1,1,0,0,0,1,1,0,0
11/5/12,1,1,1,40.73415224,-73.99814263,4,1,2,3,375,93.75,2625,11250,0,0,25,100,2,0,3,30,26,8/29/15,4/19/17,1.27,1,0,1,1,0,0,0,1,0,1,0
1/6/14,1,1,1,40.73224658,-73.99439962,2,1,0,1,65,32.5,455,1950,0,0,0,0,1,0,90,1125,4,1/26/14,8/11/14,0.1,0,0,1,1,0,0,0,1,0,0,1
2/14/14,2,2,2,40.82038809,-73.95513597,2,1,1,1,40,20,250,1100,0,0,0,0,1,10,1,1125,5,2/26/14,1/3/16,0.13,0,0,1,0,1,0,0,1,0,1,0
3/17/15,1,1,1,40.80450816,-73.95025032,3,1,0,1,100,33.33333333,695,2150,0,0,18.33333333,55,1,200,5,1125,11,11/3/15,3/31/17,0.6,0,0,1,1,0,0,0,1,0,0,1
12/13/16,1,1,1,40.82286511,-73.93899088,2,1,1,1,60,30,420,1800,0,0,0,0,1,0,1,1125,19,12/17/16,4/29/17,4.07,0,0,1,0,1,0,0,1,1,0,0
12/15/11,1,1,1,40.8074804,-73.94868988,4,1,2,2,299,74.75,2093,6999,50,200,0,0,1,50,4,30,3,10/6/13,10/27/13,0.07,0,0,1,1,0,0,0,1,0,0,1
3/12/13,1,1,1,40.80683809,-73.94843539,4,1,1,2,150,37.5,1050,4500,125,500,12.5,50,4,100,5,14,14,5/27/13,1/3/17,0.29,0,0,1,1,0,0,0,1,0,0,1
3/13/11,21,21,18,40.73282942,-73.98483127,1,1,1,1,68,68,476,2040,0,0,50,50,1,0,30,1125,5,11/13/16,3/27/17,0.87,1,1,0,0,1,0,0,1,0,0,1
11/13/09,1,1,1,40.73308056,-73.98159453,2,1,0,1,145,72.5,1015,4350,150,300,62.5,125,2,0,3,1125,79,4/29/12,1/3/17,1.29,1,0,1,1,0,0,0,1,0,1,0
7/12/15,3,3,3,40.73443845,-73.98448472,2,1,1,1,120,60,840,3600,0,0,30,60,1,20,4,30,6,9/11/15,6/4/16,0.3,1,0,1,0,1,0,1,0,0,0,1
12/6/11,1,1,1,40.73348541,-73.98521866,2,1,1,1,103,51.5,721,2700,100,200,25,50,1,0,3,60,77,4/2/12,4/29/17,1.24,0,0,1,1,0,0,0,1,0,0,1
7/6/15,1,1,1,40.82753433,-73.94836696,2,1,1,1,100,50,700,3000,50,100,12.5,25,1,0,2,1125,7,1/1/17,5/2/17,1.69,0,0,1,1,0,0,0,1,1,0,0
2/13/11,5,5,4,40.79966821,-73.95156381,3,1,2,2,85,28.33333333,595,2550,66.66666667,200,21.66666667,65,1,30,3,10,4,11/17/13,5/7/16,0.09,0,0,1,0,1,0,0,1,0,1,0
11/22/13,1,1,1,40.80574029,-73.95285593,2,1,0,1,150,75,900,3000,65,130,35,70,1,0,3,31,44,3/17/15,3/21/17,1.69,0,0,1,1,0,0,0,1,0,1,0
6/2/11,2,2,2,40.81027496,-73.94080338,1,1,1,1,39,39,273,1170,100,100,20,20,1,0,4,60,14,5/8/16,4/19/17,1.16,1,0,1,0,0,1,1,0,0,1,0
5/30/16,1,1,1,40.82434453,-73.94978713,1,1,1,1,42,42,294,1260,100,100,25,25,1,0,7,31,1,1/2/17,1/2/17,0.24,1,0,1,0,1,0,0,1,0,1,0
3/27/15,1,1,1,40.82167414,-73.94987867,2,1,1,1,130,65,910,3900,250,500,50,100,1,0,14,30,1,2/5/17,2/5/17,0.34,1,0,1,1,0,0,0,1,0,0,1
11/24/10,2,2,2,40.80474241,-73.94887764,2,1,1,1,99,49.5,693,2970,50,100,0,0,1,10,2,365,16,1/27/11,8/26/12,0.21,0,0,1,0,1,0,0,1,0,1,0
12/22/15,3,3,3,40.80369946,-73.95345709,2,1,1,1,95,47.5,665,2850,0,0,7.5,15,2,10,2,1125,96,1/3/16,4/30/17,5.9,0,1,0,0,1,0,0,1,0,0,1
11/12/13,3,3,3,40.76462654,-73.99274699,1,1,1,1,70,70,490,2100,0,0,50,50,1,25,2,1125,45,8/3/15,4/17/17,2.11,0,0,1,0,1,0,0,1,0,0,1
12/28/16,1,1,1,40.76140606,-73.99796911,2,1,1,1,300,150,2100,9000,250,500,50,100,1,0,30,150,4,1/5/17,4/18/17,1,0,0,1,1,0,0,0,1,1,0,0
9/12/14,1,1,1,40.76808935,-73.98618819,2,1,0,1,250,125,1750,3500,0,0,0,0,1,0,1,1125,5,12/11/15,5/3/16,0.29,1,0,1,1,0,0,0,1,0,0,1
11/24/13,1,1,1,40.75854951,-73.98930589,2,1,1,1,99,49.5,693,2970,150,300,25,50,1,25,1,60,12,8/26/16,3/18/17,1.43,1,0,1,1,0,0,0,1,0,0,1
10/30/13,1,1,1,40.75562286,-73.99736011,4,2,2,2,525,131.25,3675,15750,0,0,25,100,3,100,4,1125,22,11/27/13,4/14/17,0.53,1,0,1,1,0,0,0,1,0,0,1
11/19/13,1,1,1,40.76619293,-73.98756656,2,1,1,1,99,49.5,693,2970,50,100,15,30,1,0,2,1125,12,6/15/16,8/1/16,1.11,0,0,1,0,1,0,0,1,0,0,1
8/1/16,1,1,1,40.7633825,-73.98911382,2,1,1,1,113,56.5,791,3390,125,250,25,50,1,25,2,14,33,9/9/16,4/29/17,4.19,1,0,1,0,1,0,0,1,0,0,1
9/7/13,1,1,1,40.86363169,-73.93002252,2,1,1,1,48,24,336,1440,0,0,0,0,1,0,1,1125,5,8/14/15,9/27/15,0.24,0,0,1,0,1,0,1,0,0,1,0
3/22/16,1,1,1,40.86440935,-73.92365025,2,1,1,1,60,30,420,1800,50,100,12.5,25,1,10,2,1125,19,6/1/16,4/15/17,1.69,1,0,1,0,1,0,0,1,0,0,1
12/4/16,2,2,2,40.86714517,-73.92724989,2,1,1,1,40,20,280,1200,0,0,20,40,1,35,1,1125,7,12/7/16,2/26/17,1.42,1,0,1,0,1,0,0,1,0,1,0
3/29/13,2,2,2,40.86182204,-73.93087762,2,1,1,1,80,40,500,1500,125,250,7.5,15,2,20,2,14,1,6/25/16,6/25/16,0.1,1,0,1,0,1,0,0,1,0,0,1
11/7/14,2,2,2,40.86644137,-73.92676877,6,2,3,4,385,64.16666667,2695,5880,50,300,24.16666667,145,6,55,3,30,13,4/20/15,12/14/16,0.52,0,0,1,1,0,0,0,1,0,0,1
8/20/13,1,1,1,40.86396385,-73.92519971,4,1,1,2,128,32,850,3840,125,500,12.5,50,1,0,1,1125,3,5/28/15,9/8/15,0.13,0,0,1,1,0,0,0,1,1,0,0
4/28/15,1,1,1,40.85900682,-73.9287425,2,1,1,1,79,39.5,553,2370,0,0,0,0,1,0,4,1125,4,11/2/15,1/20/16,0.22,0,0,1,1,0,0,0,1,0,1,0
8/5/15,1,1,1,40.8803691,-73.90614948,3,1,1,1,169,56.33333333,1183,5070,0,0,16.66666667,50,2,50,1,1125,4,10/25/16,4/20/17,0.63,1,0,1,1,0,0,0,1,0,0,1
5/31/12,1,1,1,40.7395056,-73.98145903,2,1,1,1,145,72.5,1015,4350,0,0,40,80,1,0,3,14,2,7/14/12,6/23/16,0.03,1,0,1,1,0,0,0,1,0,0,1
1/26/16,1,1,1,40.74129896,-73.98238183,8,1,3,4,399,49.875,2793,11970,0,0,18.75,150,4,25,2,1125,1,3/13/17,3/13/17,0.59,1,0,1,1,0,0,0,1,0,0,1
11/13/15,3,3,2,40.74010438,-73.98152367,3,1,1,1,200,66.66666667,1400,6000,0,0,20,60,2,90,1,1125,71,12/11/15,4/15/17,4.18,0,0,1,1,0,0,0,1,0,1,0
6/15/13,2,2,2,40.74170152,-73.9785701,2,1,1,1,125,62.5,875,3750,0,0,0,0,1,0,2,30,4,1/18/16,2/6/17,0.25,1,0,1,0,1,0,0,1,1,0,0
2/1/13,2,2,2,40.74672917,-73.97761488,2,1,1,1,180,90,1260,5400,0,0,0,0,1,0,2,21,2,11/1/15,11/20/15,0.11,1,0,1,0,1,0,0,1,0,0,1
7/19/15,1,1,1,40.74981282,-73.97860409,4,1,1,2,198,49.5,1386,5940,125,500,25,100,3,50,5,20,1,9/13/15,9/13/15,0.05,0,0,1,1,0,0,0,1,0,0,1
7/2/14,4,4,3,40.74600831,-73.9716335,2,1,1,1,180,90,1260,5400,0,0,50,100,1,75,1,1125,3,2/24/17,4/28/17,1.29,1,0,1,0,1,0,0,1,0,1,0
5/18/16,1,1,1,40.74806425,-73.97170014,4,1,1,2,109,27.25,763,3270,75,300,17.25,69,2,35,2,1125,49,12/23/16,4/23/17,11.05,0,0,1,1,0,0,0,1,0,0,1
2/26/13,1,1,1,40.74927962,-73.97259117,7,1,3,4,300,42.85714286,2100,9000,42.85714286,300,21.42857143,150,5,50,3,1125,1,4/28/17,4/28/17,1,1,0,1,1,0,0,0,1,0,0,1
11/23/15,1,1,1,40.74898858,-73.97301154,1,1,1,1,119,119,833,3570,0,0,0,0,1,0,1,1125,1,12/31/15,12/31/15,0.06,1,0,1,0,1,0,0,1,1,0,0
2/7/13,2,2,2,40.74939782,-73.97719264,6,1,2,3,225,37.5,1575,6750,16.66666667,100,25,150,4,35,1,1125,23,10/27/16,4/23/17,3.63,1,0,1,1,0,0,0,1,0,0,1
11/21/13,1,1,1,40.74904171,-73.97369309,2,1,1,1,300,150,2100,3499,349.5,699,0,0,2,100,7,14,1,12/15/13,12/15/13,0.02,0,0,1,1,0,0,0,1,1,0,0
9/21/13,1,1,1,40.73544379,-73.97465386,2,1,1,1,110,55,770,3300,175,350,10,20,1,0,5,28,30,1/12/14,4/2/17,0.75,0,0,1,0,1,0,0,1,0,0,1
11/21/09,1,1,1,40.73961242,-73.98074318,2,1,1,1,200,100,1400,3200,0,0,75,150,2,40,7,30,8,4/15/12,4/16/17,0.13,0,0,1,1,0,0,0,1,0,0,1
10/28/13,1,1,1,40.7394743,-73.98051542,2,1,0,1,114,57,798,3420,0,0,25,50,2,30,3,14,4,7/5/16,1/20/17,0.4,0,0,1,1,0,0,0,1,0,0,1
1/13/13,1,1,1,40.73753914,-73.97990566,2,1,1,1,150,75,1050,4500,0,0,0,0,1,50,3,7,1,4/28/17,4/28/17,1,1,0,1,1,0,0,0,1,1,0,0
10/25/13,1,1,1,40.74260505,-73.9809693,2,1,1,1,98,49,686,2940,50,100,20,40,1,0,1,1125,2,4/25/15,7/4/15,0.08,0,0,1,0,1,0,0,1,1,0,0
6/30/15,1,1,1,40.74489717,-73.97959228,2,1,1,1,120,60,840,3600,0,0,30,60,1,0,1,1125,1,7/24/15,7/24/15,0.05,0,0,1,0,1,0,0,1,0,1,0
10/29/15,1,1,1,40.74286091,-73.9800123,2,1,1,2,150,75,1050,4500,0,0,0,0,2,0,1,1125,3,11/26/16,4/23/17,0.56,1,0,1,0,1,0,0,1,1,0,0
7/15/11,4,4,3,40.73886944,-73.97939549,3,1,0,1,160,53.33333333,1120,4800,166.6666667,500,50,150,2,0,30,1125,6,8/11/16,4/20/17,0.67,1,0,1,1,0,0,0,1,0,0,1
9/14/13,3,3,3,40.74356941,-73.97626322,2,1,1,2,160,80,1120,4800,150,300,27,54,1,30,4,30,12,4/27/15,1/6/17,0.49,0,0,1,1,0,0,0,1,0,1,0
6/18/14,2,2,2,40.73815187,-73.97825629,2,1,1,1,69,34.5,483,2070,0,0,15,30,1,10,3,14,41,8/16/15,4/28/17,1.96,0,0,1,0,1,0,0,1,0,0,1
9/15/13,1,1,1,40.74165011,-73.98050758,2,1,1,1,85,42.5,595,2550,400,800,65,130,1,0,30,45,1,4/23/17,4/23/17,1,1,0,1,1,0,0,0,1,0,0,1
9/24/14,1,1,1,40.74208184,-73.98084258,2,1,0,1,120,60,840,3600,75,150,5,10,2,30,1,1125,4,3/6/16,4/1/16,0.28,0,0,1,1,0,0,0,1,0,1,0
1/16/12,7,7,5,40.71710115,-73.9978142,1,1,1,1,59,59,413,1770,0,0,0,0,1,0,1,7,11,9/5/16,4/17/17,1.36,0,0,1,0,0,1,0,1,0,0,1
8/23/11,1,1,1,40.72043534,-73.98813018,2,1,1,1,149,74.5,1043,4470,75,150,37.5,75,2,25,8,17,12,5/4/15,11/8/16,0.49,0,0,1,1,0,0,0,1,0,1,0
5/7/12,11,11,8,40.71870718,-73.98894719,4,2,2,2,999,249.75,6993,29970,125,500,0,0,2,50,30,1125,1,8/21/16,8/21/16,0.12,0,0,1,1,0,0,0,1,0,1,0
3/19/16,7,7,5,40.71433187,-73.98646985,3,1,1,2,85,28.33333333,595,2550,33.33333333,100,3.333333333,10,2,15,1,1125,11,3/26/16,1/16/17,0.81,0,0,1,0,1,0,0,1,0,0,1
3/27/15,1,1,1,40.71366999,-73.98524006,4,1,2,2,160,40,1120,4800,0,0,0,0,1,0,2,1125,9,4/11/15,6/13/16,0.36,1,0,1,1,0,0,0,1,1,0,0
1/21/14,1,1,1,40.71907538,-73.99445853,2,1,2,1,150,75,1050,4500,0,0,50,100,1,0,3,1125,2,6/11/15,1/1/16,0.09,1,0,1,1,0,0,0,1,1,0,0
4/13/15,1,1,1,40.72175938,-73.99345379,2,1,0,1,140,70,980,4200,125,250,30,60,1,0,7,1125,3,11/7/15,1/5/16,0.17,1,0,1,1,0,0,0,1,0,1,0
2/20/16,1,1,1,40.72039533,-73.9917267,4,1,1,2,180,45,1260,5400,37.5,150,12.5,50,1,0,1,1125,85,2/28/16,4/25/17,5.92,1,0,1,1,0,0,0,1,0,0,1
12/23/13,1,1,1,40.71982713,-73.98195833,2,1,1,2,155,77.5,1085,4650,0,0,7.5,15,2,0,1,5,3,3/10/17,4/14/17,1.64,1,0,1,1,0,0,0,1,0,0,1
10/21/12,2,2,2,40.7206812,-73.98161701,2,2,1,1,69,34.5,483,2070,0,0,0,0,1,300,1,1125,10,9/8/15,10/23/16,0.5,0,0,1,0,1,0,0,1,0,0,1
6/24/15,3,3,3,40.71892051,-73.99241186,3,1,1,2,125,41.66666667,875,2995,66.33333333,199,16.33333333,49,2,29,1,1125,50,7/19/15,10/15/16,2.29,0,0,1,0,1,0,0,1,0,1,0
6/3/13,3,3,3,40.71014164,-73.99046565,2,1,1,1,58,29,406,2275,89.5,179,18.5,37,1,25,1,1125,57,12/8/14,4/11/17,1.95,0,0,1,0,1,0,0,1,0,0,1
10/20/14,1,1,1,40.7192927,-73.9897542,2,1,1,1,72,36,504,2160,0,0,5,10,1,50,1,6,58,12/21/15,4/30/17,3.48,0,0,1,0,1,0,0,1,0,1,0
9/5/12,1,1,1,40.72198245,-73.98931606,2,1,1,1,110,55,770,3300,200,400,15,30,1,20,3,15,46,9/7/13,4/11/17,1.03,1,0,1,0,1,0,0,1,0,1,0
5/25/13,1,1,1,40.71863595,-73.98346082,4,1,2,3,450,112.5,3150,13500,0,0,20.25,81,1,0,7,21,1,10/18/15,10/18/15,0.05,0,0,1,1,0,0,0,1,0,0,1
7/7/12,2,2,2,40.72197884,-73.98784711,1,1,1,1,90,90,630,2700,0,0,30,30,1,0,1,365,10,12/28/16,4/28/17,2.36,0,0,1,0,1,0,0,1,1,0,0
10/7/12,1,1,1,40.72096734,-73.98410593,4,1,2,2,169,42.25,1183,5070,50,200,18.75,75,1,0,1,90,4,1/24/16,9/12/16,0.26,0,0,1,1,0,0,0,1,0,0,1
4/3/14,1,1,1,40.71993933,-73.98906223,2,1,1,1,99,49.5,693,2970,0,0,9.5,19,1,30,1,1125,1,4/23/17,4/23/17,1,1,0,1,0,1,0,0,1,0,0,1
8/3/15,2,2,2,40.72148734,-73.98973798,4,1,2,2,250,62.5,1750,7500,0,0,15,60,1,0,3,5,7,9/11/16,4/30/17,0.89,1,0,1,1,0,0,0,1,0,0,1
8/11/12,1,1,1,40.72159271,-73.98781949,2,1,1,1,65,32.5,455,1950,50,100,10,20,1,0,3,1125,5,7/23/16,9/18/16,0.52,1,0,1,0,1,0,0,1,1,0,0
10/1/11,1,1,1,40.71774051,-73.98573547,3,1,1,1,145,48.33333333,1015,2800,0,0,33.33333333,100,1,15,30,150,18,5/8/12,1/2/17,0.3,1,0,1,1,0,0,0,1,1,0,0
2/4/13,1,1,1,40.71899917,-73.98686441,4,1,2,2,179,44.75,1253,5370,187.5,750,20,80,2,30,3,30,46,12/3/14,4/17/17,1.56,0,0,1,1,0,0,0,1,0,0,1
11/8/12,1,1,1,40.72030799,-73.9923739,1,1,1,1,125,125,875,3750,0,0,0,0,1,0,4,1125,1,8/13/15,8/13/15,0.05,1,0,1,0,1,0,0,1,1,0,0
5/7/14,4,4,4,40.72003065,-73.98645611,2,1,1,1,125,62.5,875,3750,250,500,40,80,1,25,1,1125,3,5/15/16,12/8/16,0.25,0,0,1,0,1,0,0,1,0,0,1
10/3/14,8,8,5,40.71734956,-73.98213443,2,1,1,1,125,62.5,875,3750,0,0,12.5,25,1,15,3,1125,5,5/22/16,11/6/16,0.43,1,0,1,0,1,0,0,1,0,0,1
10/5/14,1,1,1,40.72056677,-73.99185151,2,1,1,1,80,40,560,2400,0,0,15,30,1,0,3,1125,10,6/25/16,3/12/17,0.95,0,0,1,0,1,0,0,1,0,0,1
6/10/13,1,1,1,40.72151871,-73.989731,2,1,1,1,150,75,600,1400,0,0,25,50,1,0,2,31,3,12/23/14,1/8/15,0.1,1,0,1,0,1,0,0,1,0,1,0
6/13/10,1,1,1,40.71779992,-73.98633247,2,1,1,3,99,49.5,693,2970,225,450,0,0,1,9,7,25,58,9/15/10,3/8/17,0.72,0,0,1,1,0,0,1,0,0,0,1
2/28/17,1,1,1,40.72094193,-73.9852915,3,1,1,2,221,73.66666667,1547,6630,33.33333333,100,21.66666667,65,1,0,2,21,13,3/9/17,4/30/17,6.84,1,1,0,1,0,0,0,1,0,0,1
3/2/14,1,1,1,40.72005121,-73.98608577,2,1,1,1,180,90,1260,5400,0,0,0,0,1,0,3,1125,19,3/19/14,9/10/16,0.5,0,0,1,1,0,0,0,1,0,0,1
4/4/15,1,1,1,40.71999962,-73.98419063,2,1,1,1,50,25,350,1500,0,0,12.5,25,1,20,2,14,3,1/1/17,1/11/17,0.73,1,0,1,0,1,0,0,1,0,1,0
6/16/15,1,1,1,40.7144925,-73.98740204,2,1,1,1,89,44.5,530,1850,0,0,0,0,1,0,3,1125,36,6/22/15,4/3/17,1.58,0,0,1,0,1,0,0,1,0,0,1
6/17/13,1,1,1,40.72029549,-73.9841446,2,1,0,1,130,65,910,4000,225,450,35,70,2,0,2,7,20,3/31/14,6/7/16,0.53,0,0,1,1,0,0,0,1,0,0,1
11/12/14,1,1,1,40.71848576,-73.98333551,2,1,0,1,140,70,980,4200,100,200,20,40,1,0,5,1125,1,7/7/16,7/7/16,0.1,1,0,1,1,0,0,1,0,1,0,0
3/15/12,1,1,1,40.71927661,-73.98906736,4,1,1,2,180,45,1260,5400,0,0,12.5,50,1,0,1,300,19,2/12/17,5/2/17,7.04,1,0,1,1,0,0,0,1,0,0,1
9/1/14,1,1,1,40.71890588,-73.98591602,2,1,1,3,185,92.5,1295,3500,150,300,37.5,75,2,15,5,1125,17,9/16/14,1/2/17,0.53,1,0,1,0,1,0,0,1,0,0,1
12/28/14,1,1,1,40.71772824,-73.99038021,2,1,1,1,130,65,910,3900,50,100,12.5,25,1,0,1,14,126,1/11/15,4/12/17,4.48,0,0,1,1,0,0,0,1,0,0,1
7/7/16,1,1,1,40.75073037,-73.98438689,2,1,1,1,350,175,2450,10500,0,0,0,0,1,0,3,1125,1,1/2/17,1/2/17,0.24,1,0,1,0,1,0,0,1,1,0,0
11/20/15,1,1,1,40.75015872,-73.98678961,6,1,1,3,199,33.16666667,1393,5970,0,0,3.333333333,20,4,10,1,1125,61,12/29/15,4/21/17,3.7,0,0,1,1,0,0,0,1,0,0,1
3/25/11,2,2,2,40.7563263,-73.96854124,3,1,1,1,189,63,1323,5670,0,0,28.33333333,85,2,25,1,100,178,11/11/13,4/17/17,4.2,0,0,1,1,0,0,0,1,0,0,1
6/16/14,1,1,1,40.76372542,-73.98051049,6,2,1,6,650,108.3333333,4550,19500,0,0,0,0,1,0,1,5,1,11/6/15,11/6/15,0.06,1,1,0,1,0,0,0,1,1,0,0
8/29/13,1,1,1,40.76544112,-73.98186151,4,2,1,2,399,99.75,2793,11970,0,0,0,0,1,0,1,1125,3,10/26/14,9/11/16,0.1,1,0,1,1,0,0,0,1,0,0,1
11/22/13,1,1,1,40.72281051,-73.99496363,3,1,1,1,250,83.33333333,1750,7500,0,0,33.33333333,100,1,0,1,1125,13,9/14/16,4/26/17,1.67,1,0,1,1,0,0,0,1,0,0,1
12/21/15,33,33,33,40.72276829,-73.99399405,1,0,1,1,69,69,483,2070,0,0,0,0,1,0,1,30,58,1/17/16,5/2/17,3.67,0,1,0,0,1,0,0,1,0,1,0
12/4/15,1,1,1,40.72394373,-73.99334899,8,1,3,4,435,54.375,3045,13050,0,0,18.125,145,2,65,1,1125,56,12/18/15,4/23/17,3.33,0,0,1,1,0,0,0,1,0,0,1
11/23/15,1,1,1,40.75536428,-73.96714734,4,1,1,1,150,37.5,1050,4500,125,500,25,100,2,25,2,1125,32,1/15/16,4/29/17,2.02,0,0,1,1,0,0,0,1,0,0,1
11/26/12,1,1,1,40.76113983,-73.96980313,1,1,1,1,145,145,800,2400,500,500,75,75,2,0,5,28,1,11/1/14,11/1/14,0.03,1,0,1,0,1,0,0,1,1,0,0
4/9/12,1,1,1,40.7440599,-73.98272731,4,1,1,2,300,75,2100,9000,0,0,25,100,2,50,1,15,132,4/29/12,4/19/17,2.16,1,0,1,1,0,0,0,1,0,0,1
9/8/13,2,2,2,40.75364718,-73.97182502,1,1,1,1,69,69,450,2070,0,0,25,25,1,0,7,1125,7,4/3/14,1/9/17,0.19,0,0,1,0,1,0,0,1,0,1,0
6/22/15,1,1,1,40.74977074,-73.98455667,2,1,1,1,300,150,2100,9000,0,0,0,0,1,0,4,30,3,10/9/16,12/31/16,0.43,1,0,1,1,0,0,0,1,0,0,1
4/29/16,33,33,11,40.7519762,-73.97266406,2,1,0,1,399,199.5,2793,11970,0,0,50,100,1,0,3,14,2,12/16/16,12/18/16,0.43,1,0,1,1,0,0,0,1,0,0,1
12/5/15,1,1,1,40.75864094,-73.96745605,4,1,1,2,175,43.75,1225,5250,0,0,7.5,30,3,50,1,1125,94,12/30/15,5/1/17,5.73,0,0,1,1,0,0,0,1,0,0,1
6/4/12,1,1,1,40.78758159,-73.98112547,3,1,1,1,125,41.66666667,910,3500,0,0,25,75,2,25,5,60,14,10/24/12,1/3/16,0.25,1,0,1,1,0,0,0,1,0,0,1
1/20/15,1,1,1,40.77697126,-73.98249097,4,1,1,1,266,66.5,1862,7980,0,0,25,100,1,0,2,60,1,4/17/17,4/17/17,1,1,0,1,1,0,0,0,1,0,0,1
6/20/13,1,1,1,40.77850589,-73.98432695,2,1,1,1,150,75,1050,4500,0,0,0,0,1,0,30,35,33,9/13/13,11/7/16,0.75,1,0,1,1,0,0,1,0,1,0,0
12/29/16,1,1,1,40.80082216,-73.96026577,2,1,1,1,89,44.5,623,2670,0,0,25,50,1,0,3,90,3,1/16/17,4/15/17,0.83,0,0,1,0,1,0,0,1,0,0,1
1/8/15,1,1,1,40.79211293,-73.96856552,4,1,1,2,150,37.5,1050,4500,125,500,25,100,1,0,1,1125,6,12/31/15,7/28/16,0.37,0,0,1,1,0,0,0,1,0,0,1
5/7/09,2,2,2,40.77787782,-73.97708344,8,2,1,2,325,40.625,2275,9750,75,600,12.5,100,4,20,2,120,5,7/25/16,4/16/17,0.53,0,0,1,1,0,0,0,1,0,0,1
12/3/16,1,1,1,40.80044899,-73.963595,5,1,2,3,220,44,1540,6600,40,200,20,100,1,0,2,1125,17,1/1/17,4/27/17,4.15,0,0,1,1,0,0,0,1,0,0,1
