Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
8/18/14,2,2,2,40.72374392,-73.99468909,1,1,1,1,49,49,343,1470,0,0,19,19,1,0,3,1125,22,11/27/16,4/21/17,4.18,0,0,1,0,0,1,1,0,0,1,0
12/31/13,1,1,1,40.75942076,-73.96816478,2,1,1,1,89,44.5,690,2670,0,0,17.5,35,1,20,1,1125,86,8/5/14,4/29/17,2.57,0,0,1,0,1,0,0,1,0,1,0
4/20/16,1,1,1,40.75709477,-73.96327436,2,1,1,1,100,50,700,3000,0,0,15,30,1,35,2,1125,22,6/30/16,5/2/17,2.14,1,0,1,0,1,0,0,1,0,1,0
3/7/16,2,2,2,40.75110061,-73.98666762,1,1,1,1,50,50,350,1500,0,0,0,0,1,0,1,30,13,8/15/16,3/21/17,1.48,0,0,1,0,0,1,0,1,0,0,1
4/29/16,33,33,11,40.75162355,-73.97319732,4,1,1,2,649,162.25,4543,19470,0,0,25,100,1,0,3,14,1,12/9/16,12/9/16,0.2,1,0,1,1,0,0,0,1,0,0,1
3/14/15,1,1,1,40.74920851,-73.98444985,3,1,0,2,180,60,1260,5400,0,0,0,0,1,0,5,1125,8,9/8/15,4/19/17,0.4,1,0,1,1,0,0,0,1,1,0,0
5/4/11,1,1,1,40.75626604,-73.96755032,5,2,1,4,375,75,2625,11250,0,0,0,0,4,0,1,1125,56,1/4/16,1/29/17,3.46,0,0,1,1,0,0,0,1,1,0,0
2/3/15,1,1,1,40.75575606,-73.96547955,3,1,0,1,200,66.66666667,1400,6000,0,0,0,0,1,0,3,12,18,5/2/16,4/16/17,1.48,0,0,1,1,0,0,0,1,0,0,1
4/3/13,1,1,1,40.80972064,-73.95588454,4,1,0,2,99,24.75,693,2970,50,200,25,100,3,25,1,1125,23,1/2/17,4/30/17,5.61,0,0,1,1,0,0,0,1,0,0,1
5/21/16,1,1,1,40.81450803,-73.95953238,1,1,1,1,50,50,350,1500,0,0,0,0,1,25,1,1125,3,9/5/16,9/11/16,0.38,0,0,1,0,0,1,0,1,0,1,0
10/11/14,1,1,1,40.80800624,-73.95820317,4,1,1,2,132,33,924,3200,0,0,15,60,2,20,2,1125,9,11/3/14,1/4/17,0.3,0,0,1,1,0,0,0,1,0,0,1
5/30/12,1,1,1,40.80716385,-73.96424708,2,1,0,1,130,65,700,3900,0,0,0,0,1,0,3,1125,28,7/23/16,3/18/17,2.95,0,0,1,1,0,0,0,1,0,0,1
5/23/16,1,1,1,40.80555281,-73.96463575,4,1,1,2,140,35,980,4200,0,0,0,0,1,0,1,1125,1,6/3/16,6/3/16,0.09,1,0,1,1,0,0,0,1,1,0,0
