Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,PersonPrice,Security Deposit,Cleaning Fee,Number of Reviews,Reviews per Month,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict,Review Scores Rating
40.72612248,-73.99043465,1,1,1,1,110,100,20,47,2.47,0,1,0,1,0,0,1,0,1,0,1
40.73395202,-73.98967743,3,1,2,2,99.66666667,0,100,3,0.07,0,1,1,0,0,0,1,1,0,0,1
40.72847082,-73.98579228,4,1,0,3,45.75,300,54,1,0.06,0,1,1,0,0,0,1,0,0,1,0
40.72657617,-73.9890723,2,1,1,1,89.5,150,100,27,0.55,0,1,1,0,0,0,1,0,0,1,0
40.73112476,-73.98558167,2,1,1,1,45,500,75,55,1.51,0,1,0,1,0,0,1,0,0,1,0
40.72895366,-73.98789336,4,1,2,2,50,500,150,1,0.09,0,1,1,0,0,0,1,1,0,0,1
40.79600238,-73.94862928,6,1,2,2,35.83333333,0,50,25,5.07,0,1,1,0,0,0,1,0,0,1,0
40.7870446,-73.9441079,2,1,1,1,39.5,0,0,165,5.31,0,1,0,1,0,0,1,0,0,1,1
40.79538396,-73.94716421,5,1,2,2,36,300,50,9,0.92,0,1,1,0,0,0,1,0,0,1,0
40.79228632,-73.94961991,2,1,1,1,40,500,30,65,3.23,0,1,0,1,0,0,1,0,1,0,1
40.79970473,-73.93447923,4,1,1,2,27,300,50,1,0.12,0,1,1,0,0,0,1,1,0,0,1
40.79500972,-73.94896316,6,1,2,4,50,150,125,3,0.19,0,1,1,0,0,0,1,0,1,0,0
40.79962681,-73.94628436,4,1,1,2,25.75,200,150,39,1.62,0,1,1,0,0,0,1,0,0,1,0
40.80021482,-73.94142027,4,1,2,2,46.25,0,0,68,1.8,0,1,1,0,0,0,1,0,1,0,1
40.80336236,-73.93685212,2,1,1,1,42.5,0,5,20,1.87,0,1,0,1,0,0,1,0,0,1,1
40.78679948,-73.94269448,2,1,1,1,37.5,0,10,51,5.31,0,1,0,1,0,1,0,1,0,0,0
40.79578824,-73.94937228,2,1,1,1,44.5,0,30,4,2.93,0,1,0,1,0,0,1,0,1,0,1
40.79370554,-73.94507116,1,1,1,4,42,0,0,41,8.54,0,1,0,0,1,0,1,1,0,0,0
40.72261217,-73.98457603,3,1,0,1,63.33333333,150,25,1,0.24,0,1,1,0,0,0,1,1,0,0,1
40.73994072,-73.99004566,8,2,3,5,75,500,0,12,0.95,0,1,1,0,0,0,1,0,0,1,0
40.70725892,-74.0059329,2,2,1,1,60,0,25,33,1.64,0,1,0,1,0,0,1,1,0,0,1
40.70686096,-73.91960524,2,1,0,1,52.5,0,90,3,0.18,0,1,1,0,0,0,1,0,0,1,0
40.71048385,-73.95239894,3,1,1,2,33.33333333,250,40,5,0.93,0,1,0,1,0,0,1,0,0,1,0
40.71939982,-73.94293948,2,1,2,1,62.5,400,100,14,1.17,0,1,1,0,0,0,1,0,0,1,0
40.74768137,-73.99625039,4,1,1,2,87.5,0,185,3,0.15,0,1,1,0,0,0,1,0,0,1,0
40.74338822,-73.99774859,2,1,1,1,97.5,400,150,69,2.44,0,1,1,0,0,0,1,0,0,1,1
40.74504981,-73.99778587,2,1,1,1,80,500,120,1,0.14,0,1,1,0,0,0,1,0,0,1,1
40.74325525,-73.99421813,3,1,1,1,69.66666667,100,100,16,0.59,0,1,0,1,0,0,1,0,0,1,1
40.74410765,-74.00204186,1,1,0,1,100,0,0,10,0.32,0,1,1,0,0,0,1,0,1,0,1
40.74552794,-73.99784392,1,1,1,1,200,0,0,1,0.09,0,1,0,1,0,0,1,1,0,0,1
40.73924281,-73.99825352,3,1,1,1,50,0,85,4,0.41,0,1,1,0,0,0,1,0,0,1,0
40.74275028,-74.00188427,4,1,1,1,55.75,100,60,125,2.06,0,1,1,0,0,0,1,0,0,1,0
40.74736332,-73.99457455,6,2,2,3,49.16666667,200,0,12,4,0,1,1,0,0,0,1,0,0,1,0
40.74525015,-73.99228817,1,2,1,1,100,750,70,1,0.86,0,1,0,1,0,0,1,0,1,0,0
40.7425216,-73.99749735,2,1,0,1,87.5,0,70,18,0.56,0,1,1,0,0,0,1,0,1,0,0
40.74169758,-73.99780334,1,1,0,1,135,350,45,31,1.38,0,1,1,0,0,1,0,0,0,1,1
40.74610922,-74.00013644,3,1,1,1,71,300,100,27,1.19,0,1,1,0,0,0,1,0,0,1,1
40.74778668,-73.99660156,1,1,1,1,77,0,8,21,3.91,0,1,0,1,0,0,1,0,1,0,0
40.74496773,-73.99562023,2,1,1,1,30,0,0,12,0.26,0,1,0,1,0,0,1,0,0,1,0
40.73940698,-74.00067243,2,1,1,1,115,300,80,8,0.34,0,1,1,0,0,0,1,0,0,1,1
40.75005677,-73.99582721,2,1,0,1,62.5,250,35,11,1.53,0,1,1,0,0,0,1,0,1,0,0
40.74704545,-74.00256794,4,2,2,2,87.5,0,50,3,0.56,0,1,1,0,0,0,1,0,1,0,0
40.74803845,-74.00305556,2,1,1,1,97.5,0,45,23,1.53,0,1,1,0,0,0,1,0,0,1,1
40.74041479,-73.9998983,2,1,1,1,79,0,49,1,0.13,0,1,1,0,0,0,1,0,0,1,1
40.74375856,-74.00386825,6,1,2,2,72.16666667,0,85,86,4.46,0,1,1,0,0,0,1,0,1,0,1
40.74136811,-74.00354076,2,1,1,1,62.5,0,50,5,4.29,0,1,0,1,0,0,1,0,0,1,1
40.75232961,-74.00251936,2,1,1,1,54.5,150,35,18,2.76,0,1,0,1,0,0,1,0,0,1,0
40.73975622,-73.99591885,3,1,1,2,82.33333333,0,75,3,0.1,0,1,1,0,0,0,1,1,0,0,1
40.74387633,-73.99923112,6,2,2,2,75,500,150,41,0.63,0,1,1,0,0,0,1,0,1,0,1
40.74934845,-73.99723223,2,1,1,1,75,250,60,28,0.71,0,1,1,0,0,0,1,0,1,0,0
40.75003601,-73.99646572,1,1,0,1,89,0,30,187,5.25,0,1,1,0,0,0,1,0,0,1,0
40.74034082,-73.99933149,2,1,1,1,109.5,0,49,27,1.16,0,1,1,0,0,0,1,0,0,1,1
40.71226548,-74.00488878,4,1,1,2,62.5,0,50,10,0.46,0,1,1,0,0,0,1,1,0,0,0
40.71673727,-74.00334117,2,1,1,1,50,100,50,1,0.05,0,1,0,1,0,0,1,0,1,0,1
40.71258982,-73.99897274,2,1,1,1,47.5,0,45,7,0.65,0,1,0,1,0,0,1,0,0,1,0
40.71263815,-73.99892748,2,1,1,1,40,0,35,2,1.25,0,1,0,1,0,0,1,1,0,0,0
40.79474141,-73.97113637,6,2,3,3,50,0,0,16,0.95,0,1,1,0,0,0,1,0,1,0,1
40.79237288,-73.97077723,2,1,1,1,67.5,0,95,8,1.02,0,1,0,1,0,0,1,0,0,1,1
40.79044947,-73.97361306,4,1,2,3,49.75,0,100,4,0.2,0,1,1,0,0,0,1,1,0,0,0
40.79900085,-73.96504363,2,2,1,1,47.5,0,15,97,4.88,0,1,0,1,0,0,1,0,0,1,0
40.7945765,-73.97076862,3,1,0,1,60,300,0,7,0.61,0,1,1,0,0,0,1,1,0,0,1
40.79099627,-73.96808723,2,1,1,1,75,300,80,5,0.25,0,1,1,0,0,0,1,0,1,0,1
40.78491802,-73.97992459,4,1,2,2,32.25,100,50,8,1.09,0,1,0,1,0,0,1,0,1,0,1
40.76986309,-73.98672529,3,1,1,1,30,0,65,1,0.11,0,1,0,1,0,0,1,0,1,0,1
40.7970868,-73.96309048,4,1,1,2,24.75,0,0,29,2.91,0,1,0,1,0,0,1,0,0,1,0
40.79903297,-73.96450953,6,1,2,3,41.5,0,75,32,0.98,0,1,1,0,0,0,1,0,0,1,1
40.78040843,-73.98204711,3,1,1,1,100,0,50,3,0.62,0,1,1,0,0,0,1,0,0,1,1
40.78768884,-73.97275667,3,1,1,1,75,0,50,1,0.13,0,1,1,0,0,0,1,0,1,0,1
40.78461556,-73.97828254,2,2,1,1,40,300,100,2,0.48,0,1,0,1,0,0,1,0,1,0,1
40.80282999,-73.96763153,4,1,1,1,36.25,300,90,55,0.89,0,1,1,0,0,0,1,0,0,1,0
40.83341122,-73.94611386,3,1,1,1,31.66666667,200,50,2,0.04,0,1,1,0,0,0,1,0,1,0,1
40.83548989,-73.94728853,4,1,0,2,26.25,125,75,5,0.43,0,1,1,0,0,0,1,0,1,0,0
40.85421608,-73.9288226,6,1,2,3,25,150,50,4,0.13,0,1,1,0,0,0,1,0,1,0,0
40.8526241,-73.93821351,5,1,2,2,25.8,175,80,37,0.87,0,1,1,0,0,0,1,0,0,1,0
40.84601208,-73.93766319,6,1,1,3,14.16666667,150,40,10,7.69,0,1,1,0,0,0,1,0,0,1,1
40.83713751,-73.93713337,2,1,1,1,37.5,0,0,9,0.52,0,1,0,1,0,0,1,0,0,1,0
40.78931463,-73.97519545,4,1,2,2,40,0,0,8,0.37,0,1,1,0,0,0,1,0,1,0,1
40.77251889,-73.98046092,4,1,1,1,50,0,50,1,1,0,1,1,0,0,0,1,1,0,0,1
40.77812687,-73.97573598,2,2,1,1,75,0,50,2,0.16,0,1,0,1,0,0,1,1,0,0,1
40.78793248,-73.976569,2,1,1,1,49.5,260,45,18,0.81,0,1,0,1,0,0,1,0,0,1,1
40.78829253,-73.97052668,2,1,1,1,115,250,70,1,0.03,0,1,1,0,0,0,1,1,0,0,1
40.80150092,-73.96483361,2,1,1,1,50,500,80,2,0.25,0,1,1,0,0,0,1,0,0,1,1
40.79636791,-73.96893269,4,1,1,2,40,300,80,47,0.72,0,1,0,1,0,0,1,0,1,0,1
40.79594862,-73.96981193,4,1,1,1,34.25,300,50,4,0.2,0,1,1,0,0,0,1,0,1,0,0
40.78026893,-73.97718826,2,1,1,2,72.5,500,50,1,0.13,0,1,1,0,0,0,1,0,0,1,1
40.79952226,-73.95986232,2,1,1,1,26.5,0,0,1,0.06,0,1,0,1,0,0,1,1,0,0,0
40.7965015,-73.96179491,2,1,1,1,49.5,0,29,79,3.98,0,1,0,1,0,0,1,0,0,1,1
40.78607797,-73.97700655,2,1,1,1,27.5,250,45,47,2.23,0,1,0,1,0,0,1,0,0,1,0
40.79057017,-73.9802408,2,1,1,1,50,800,0,11,1.36,0,1,1,0,0,0,1,1,0,0,0
40.78882329,-73.97944848,4,1,1,2,44.75,0,50,14,0.46,0,1,1,0,0,0,1,0,0,1,0
40.79886139,-73.96382281,1,1,1,1,95,200,20,2,0.24,0,1,0,1,0,0,1,0,1,0,1
40.7946639,-73.97173355,2,1,1,2,80,0,50,2,0.15,0,1,1,0,0,0,1,0,1,0,1
40.77361338,-73.97907839,2,1,0,1,90,0,40,7,0.32,0,1,1,0,0,0,1,0,0,1,1
40.79494897,-73.97260024,2,1,1,1,45,0,40,20,1.56,0,1,0,1,0,0,1,0,0,1,1
40.77797152,-73.97890284,1,1,0,1,299,0,30,2,0.1,0,1,1,0,0,0,1,1,0,0,1
40.7957631,-73.96855532,8,1,1,2,18.75,150,75,6,0.45,0,1,0,1,0,0,1,1,0,0,0
40.77187607,-73.98847123,2,1,0,1,62.5,0,60,3,0.2,0,1,1,0,0,0,1,0,0,1,0
40.80290513,-73.96511239,2,1,1,1,50,100,35,11,7.02,0,1,0,1,0,0,1,0,0,1,1
